Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.006666875,0.003587952,-0.068757053,-0.001356554,0.068863967
0.016688875,0.002667532,-0.044480418,0.039509051,0.059553241
0.026709875,0.045060873,-0.015674521,0.045197223,0.065718809
0.036731875,-0.045511639,-0.003448989,0.004028732,0.045819597
0.046752875,-0.014264543,0.01729558,0.038751252,0.044769117
0.056774875,0.034439438,0.058692268,0.004318753,0.068187307
0.066795875,0.000604908,0.072807583,0.013446842,0.074041391
0.076817875,-0.021327979,0.072815221,0.023773025,0.079511608
0.086838875,0.016144807,0.074456462,0.043978078,0.087968692
0.096860875,-0.059036915,0.163461033,0.015833091,0.174515196
0.106881875,-0.068322805,0.326507353,0.037386512,0.335667705
0.116903875,0.118231779,0.181460188,0.016730053,0.217224419
0.126924875,-0.072417368,0.0191817,0.010743674,0.075681169
0.136946875,-0.115925564,-0.10194055,0.036937446,0.158729288
0.146967875,0.033115477,-0.141743542,0.029599775,0.148539602
0.156989875,0.062489111,-0.132806895,0.065226275,0.160614531
0.167010875,0.002075556,-0.053714798,0.020319074,0.057466966
0.177032875,-0.000455681,0.052537662,0.009690006,0.053425741
0.187053875,0.022614024,0.039519677,0.010588723,0.046747406
0.197075875,-0.032633466,-0.079700308,0.034538918,0.092790189
0.207096875,-0.025728133,-0.215996457,0.035586154,0.220415019
0.217118875,0.001462179,-0.228586444,0.045765572,0.233127407
0.227139875,-0.030371388,-0.138599111,0.018821018,0.143130589
0.237161875,-0.010257336,0.017423816,0.029896814,0.036091852
0.247182875,0.004772283,0.095024965,0.021363972,0.097513784
0.257204875,0.037912131,0.106565569,0.010288176,0.113575511
0.267225875,-0.018265107,0.089270273,0.021216037,0.09355702
0.277247875,-0.063225399,0.023710852,0.035885532,0.076468471
0.287268875,-0.062862616,-0.064066179,0.052501565,0.103983643
0.297290875,-0.108987038,-0.235838325,0.012084441,0.260084455
0.307312875,0.138766981,-0.199024968,0.023312849,0.243743106
0.317333875,0.13923527,-0.114191837,0.049662741,0.186795674
0.327355875,0.00744943,-0.066083377,0.045325277,0.080479112
0.337376875,0.004533789,0.044937634,0.036343954,0.057972659
0.347398875,0.011945487,0.266833337,0.000716284,0.267101549
0.357419875,0.099661954,0.445804183,-0.006469359,0.456854164
0.367441875,-0.199791483,0.546459652,0.001613247,0.58183966
0.377462875,-0.013045764,0.703887382,0.039031334,0.705089415
0.387484875,0.101754224,0.550192039,0.071361174,0.564054624
0.397505875,-0.290713768,0.592982731,0.105037628,0.668712133
0.407527875,-0.222040267,0.995925252,0.092446234,1.024556145
0.417548875,0.524759794,1.587852341,0.086594925,1.674558622
0.427570875,0.126793272,2.423778477,0.109796677,2.429574849
0.437591875,0.149991095,3.870957919,0.040641657,3.874075926
0.447613875,-0.007521634,5.377389536,0.002008519,5.377395171
0.457634875,0.259339802,6.366585227,-0.012664484,6.371877665
0.467656875,0.011694747,7.7065051,0.070113378,7.70683291
0.477677875,-0.257878217,9.784293301,0.034778654,9.787752864
0.487699875,0.416638491,9.809532223,0.196287521,9.820338021
0.497720875,0.084696864,9.050074219,0.153347908,9.051769579
0.507742875,-0.086141017,8.345337968,0.037345582,8.345866088
0.517763875,-0.134059497,7.48147442,0.086589078,7.483176406
0.527785875,0.152840589,6.476165557,0.139744946,6.479475999
0.537806875,-0.006487769,5.532071194,0.082103094,5.532684222
0.547828875,-0.098162709,4.397452326,0.202273901,4.403196294
0.557849875,0.030878858,3.258375248,0.196561756,3.264444713
0.567871875,0.24672966,2.094171223,-0.032473682,2.108905682
0.577892875,0.318554445,0.897966921,-0.104012026,0.958457108
0.587914875,0.006437698,-0.444877802,-0.149039095,0.469223139
0.597935875,-0.129997327,-1.606128106,0.035408399,1.611769385
0.607957875,-0.167780298,-2.769087551,0.071486304,2.775086735
0.617978875,-0.354127041,-4.022584699,0.234350556,4.044936811
0.628000875,-0.143569299,-5.147027366,0.021327719,5.149073481
0.638021875,-0.016935935,-6.103973908,0.004838571,6.103999321
0.648043875,0.071484783,-7.174035423,-0.27898937,7.179814022
0.658064333,0.056622559,-8.196731567,-0.083343873,8.197350834
0.668086333,0.058932191,-8.832067215,-0.137073353,8.833327425
